customer_id,activation_date,churn_date,study_end_date,last_observed_date,churn_label,customer_status,survival_time_days,survival_time_months,age,marital_status,monthly_charges,device_type,internet_service,contract_type,payment_method,tech_support,online_security,streaming_tv
CUST-00019,26/02/2026,,31/03/2026,31/03/2026,0,No,33,1.084,61,Married,33.27,Feature Phone,Mobile Data,Month-to-month,Card,Yes,Not applicable,Not applicable
CUST-00020,21/08/2025,10/10/2025,31/03/2026,10/10/2025,1,Yes,50,1.643,34,Married,68.46,Feature Phone,Fiber,Month-to-month,Bank Transfer,No,No,Yes
CUST-00021,06/10/2025,,31/03/2026,31/03/2026,0,No,176,5.782,23,Married,29.54,Smartphone,Mobile Data,Month-to-month,Mobile Money,No,Yes,Yes
CUST-00022,08/06/2025,,31/03/2026,31/03/2026,0,No,296,9.725,61,Single,16.88,Router/MiFi,None,Month-to-month,Card,No,Not applicable,Not applicable
CUST-00023,20/11/2025,,31/03/2026,31/03/2026,0,No,131,4.304,50,Married,49.73,Smartphone,Mobile Data,12-month,Cash/Agent,Yes,Not applicable,Yes
CUST-00024,08/05/2025,,31/03/2026,31/03/2026,0,No,327,10.743,53,Married,38.09,Smartphone,DSL,24-month,Card,No,No,No
CUST-00025,07/02/2026,,31/03/2026,31/03/2026,0,No,52,1.708,23,Married,36.47,Smartphone,Mobile Data,Month-to-month,Cash/Agent,Yes,No,Not applicable
CUST-00026,11/02/2025,01/07/2025,31/03/2026,01/07/2025,1,Yes,140,4.6,34,Married,8.09,Smartphone,None,Month-to-month,Card,No,Yes,Not applicable
CUST-00027,01/02/2026,31/03/2026,31/03/2026,31/03/2026,1,Yes,58,1.906,24,Single,44.84,Feature Phone,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,Yes,No,No
CUST-00028,24/02/2026,,31/03/2026,31/03/2026,0,No,35,1.15,54,Married,39.2,Router/MiFi,DSL,Month-to-month,Cash/Agent,No,No,Not applicable
CUST-00029,21/04/2025,09/07/2025,31/03/2026,09/07/2025,1,Yes,79,2.595,74,Single,12.4,Tablet,DSL,Month-to-month,Cash/Agent,Yes,Yes,No
CUST-00030,21/06/2025,,31/03/2026,31/03/2026,0,No,283,9.298,50,Single,51.52,Feature Phone,Mobile Data,Month-to-month,Cash/Agent,Yes,Not applicable,No
CUST-00031,27/03/2026,,31/03/2026,31/03/2026,0,No,4,0.131,50,Single,18.23,Router/MiFi,Mobile Data,Month-to-month,Card,No,Yes,Yes
CUST-00032,30/12/2025,,31/03/2026,31/03/2026,0,No,91,2.99,53,Single,38.66,Smartphone,Mobile Data,12-month,Cash/Agent,Yes,Not applicable,No
CUST-00033,03/09/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,209,6.867,42,Divorced/Widowed,43.43,Tablet,4G/5G Fixed Wireless,Month-to-month,Card,No,Yes,No
CUST-00034,29/11/2025,,31/03/2026,31/03/2026,0,No,122,4.008,77,Divorced/Widowed,39.94,Smartphone,4G/5G Fixed Wireless,12-month,Card,No,Yes,No
CUST-00035,11/05/2025,25/07/2025,31/03/2026,25/07/2025,1,Yes,75,2.464,32,Married,31.08,Smartphone,Mobile Data,Month-to-month,Card,Yes,No,Not applicable
CUST-00036,10/09/2025,19/01/2026,31/03/2026,19/01/2026,1,Yes,131,4.304,26,Married,49.27,Smartphone,4G/5G Fixed Wireless,Month-to-month,Mobile Money,No,Not applicable,Not applicable
CUST-00037,15/05/2025,15/12/2025,31/03/2026,15/12/2025,1,Yes,214,7.031,63,Married,70.6,Smartphone,Fiber,Month-to-month,Card,Yes,Not applicable,No
CUST-00038,20/02/2025,,31/03/2026,31/03/2026,0,No,404,13.273,60,Married,38.64,Router/MiFi,Mobile Data,Month-to-month,Bank Transfer,Yes,No,Yes
CUST-00039,12/10/2025,,31/03/2026,31/03/2026,0,No,170,5.585,20,Single,37.12,Router/MiFi,Mobile Data,Month-to-month,Cash/Agent,No,No,Yes
CUST-00040,15/05/2025,,31/03/2026,31/03/2026,0,No,320,10.513,18,Married,41.27,Smartphone,Mobile Data,12-month,Cash/Agent,No,No,No
CUST-00041,29/09/2025,,31/03/2026,31/03/2026,0,No,183,6.012,54,Single,40.74,Smartphone,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,No,Not applicable,Yes
CUST-00042,19/04/2025,,31/03/2026,31/03/2026,0,No,346,11.368,78,Divorced/Widowed,53.63,Smartphone,4G/5G Fixed Wireless,24-month,Card,Yes,Not applicable,Not applicable
CUST-00043,26/02/2025,23/03/2025,31/03/2026,23/03/2025,1,Yes,25,0.821,62,Married,31.16,Feature Phone,Mobile Data,24-month,Cash/Agent,Yes,Yes,Not applicable
CUST-00044,20/08/2025,,31/03/2026,31/03/2026,0,No,223,7.326,50,Married,38.45,Router/MiFi,None,12-month,Cash/Agent,Yes,No,Not applicable
CUST-00045,27/03/2025,,31/03/2026,31/03/2026,0,No,369,12.123,72,Single,22.98,Router/MiFi,4G/5G Fixed Wireless,12-month,Mobile Money,No,Yes,Not applicable
CUST-00046,02/01/2026,31/03/2026,31/03/2026,31/03/2026,1,Yes,88,2.891,31,Single,45.57,Feature Phone,Mobile Data,Month-to-month,Card,No,Not applicable,Not applicable
CUST-00047,25/11/2025,,31/03/2026,31/03/2026,0,No,126,4.14,52,Married,47.38,Smartphone,Mobile Data,12-month,Mobile Money,Yes,Not applicable,No
CUST-00048,01/12/2025,07/01/2026,31/03/2026,07/01/2026,1,Yes,37,1.216,76,Single,54.07,Smartphone,4G/5G Fixed Wireless,Month-to-month,Card,No,Yes,Not applicable
CUST-00049,05/10/2025,,31/03/2026,31/03/2026,0,No,177,5.815,23,Married,74.97,Smartphone,Fiber,12-month,Mobile Money,No,Not applicable,No
CUST-00050,06/05/2025,,31/03/2026,31/03/2026,0,No,329,10.809,56,Married,23.43,Feature Phone,Mobile Data,12-month,Cash/Agent,No,No,No
CUST-00051,19/01/2026,,31/03/2026,31/03/2026,0,No,71,2.333,31,Married,54.34,Router/MiFi,Fiber,12-month,Mobile Money,No,No,No
CUST-00052,23/06/2025,,31/03/2026,31/03/2026,0,No,281,9.232,78,Married,68.12,Feature Phone,Fiber,24-month,Cash/Agent,No,Yes,Not applicable
CUST-00053,01/01/2026,08/02/2026,31/03/2026,08/02/2026,1,Yes,38,1.248,60,Single,54.2,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Bank Transfer,No,Not applicable,Yes
CUST-00054,17/09/2025,,31/03/2026,31/03/2026,0,No,195,6.407,47,Married,56.98,Feature Phone,Mobile Data,24-month,Cash/Agent,Yes,Yes,Yes
CUST-00055,13/01/2026,,31/03/2026,31/03/2026,0,No,77,2.53,66,Married,68.78,Smartphone,Fiber,Month-to-month,Bank Transfer,No,Not applicable,No
CUST-00056,24/07/2025,,31/03/2026,31/03/2026,0,No,250,8.214,50,Single,26.79,Router/MiFi,Mobile Data,24-month,Card,No,Not applicable,Not applicable
CUST-00057,23/03/2025,15/08/2025,31/03/2026,15/08/2025,1,Yes,145,4.764,77,Single,16.75,Router/MiFi,Mobile Data,Month-to-month,Mobile Money,Yes,No,Not applicable
CUST-00058,17/01/2026,,31/03/2026,31/03/2026,0,No,73,2.398,30,Married,13.89,Smartphone,None,12-month,Mobile Money,Yes,Yes,No
CUST-00059,30/08/2025,,31/03/2026,31/03/2026,0,No,213,6.998,21,Married,8,Smartphone,None,12-month,Cash/Agent,Yes,Yes,Yes
CUST-00060,01/02/2026,16/02/2026,31/03/2026,16/02/2026,1,Yes,15,0.493,40,Married,66.02,Feature Phone,Fiber,Month-to-month,Mobile Money,No,Yes,Yes
CUST-00061,12/02/2026,,31/03/2026,31/03/2026,0,No,47,1.544,76,Married,32.53,Tablet,DSL,12-month,Bank Transfer,Yes,No,Not applicable
CUST-00062,07/03/2026,26/03/2026,31/03/2026,26/03/2026,1,Yes,19,0.624,51,Married,13.8,Router/MiFi,Mobile Data,Month-to-month,Mobile Money,No,Not applicable,No
CUST-00063,16/02/2025,,31/03/2026,31/03/2026,0,No,408,13.405,31,Single,46.95,Smartphone,Mobile Data,Month-to-month,Cash/Agent,Yes,Yes,Yes
CUST-00064,25/12/2025,,31/03/2026,31/03/2026,0,No,96,3.154,74,Married,43.32,Feature Phone,Mobile Data,Month-to-month,Cash/Agent,Yes,No,Yes
CUST-00065,25/11/2025,,31/03/2026,31/03/2026,0,No,126,4.14,70,Single,28.52,Router/MiFi,None,Month-to-month,Cash/Agent,No,Not applicable,Not applicable
CUST-00066,17/03/2025,23/08/2025,31/03/2026,23/08/2025,1,Yes,159,5.224,28,Married,47.1,Smartphone,4G/5G Fixed Wireless,Month-to-month,Card,No,No,Yes
CUST-00067,08/03/2025,,31/03/2026,31/03/2026,0,No,388,12.747,74,Single,53.33,Smartphone,4G/5G Fixed Wireless,24-month,Card,Yes,Not applicable,Yes
CUST-00068,02/12/2025,08/02/2026,31/03/2026,08/02/2026,1,Yes,68,2.234,36,Single,52.51,Tablet,Mobile Data,Month-to-month,Cash/Agent,No,Not applicable,Yes
CUST-00069,22/01/2025,,31/03/2026,31/03/2026,0,No,433,14.226,65,Single,45.45,Router/MiFi,Mobile Data,Month-to-month,Bank Transfer,No,Not applicable,No
CUST-00070,15/03/2026,17/03/2026,31/03/2026,17/03/2026,1,Yes,2,0.066,23,Single,52.08,Smartphone,DSL,12-month,Bank Transfer,No,Yes,Yes
CUST-00071,14/04/2025,,31/03/2026,31/03/2026,0,No,351,11.532,52,Married,53.5,Smartphone,Fiber,Month-to-month,Card,No,Not applicable,Yes
CUST-00072,09/02/2025,,31/03/2026,31/03/2026,0,No,415,13.634,74,Single,64.86,Tablet,Fiber,Month-to-month,Bank Transfer,Yes,No,Not applicable
CUST-00073,05/10/2025,,31/03/2026,31/03/2026,0,No,177,5.815,33,Married,76.97,Smartphone,Fiber,Month-to-month,Bank Transfer,No,Not applicable,Yes
CUST-00074,31/10/2025,,31/03/2026,31/03/2026,0,No,151,4.961,46,Married,16.9,Smartphone,None,Month-to-month,Card,Yes,Yes,No
CUST-00075,04/05/2025,,31/03/2026,31/03/2026,0,No,331,10.875,49,Single,42.27,Tablet,Mobile Data,Month-to-month,Card,Yes,Not applicable,No
CUST-00076,30/03/2025,,31/03/2026,31/03/2026,0,No,366,12.025,35,Single,93.61,Smartphone,Fiber,12-month,Card,No,Not applicable,Yes
CUST-00077,15/10/2025,,31/03/2026,31/03/2026,0,No,167,5.487,38,Single,64.59,Feature Phone,Fiber,Month-to-month,Cash/Agent,Yes,Not applicable,Not applicable
CUST-00078,05/05/2025,14/06/2025,31/03/2026,14/06/2025,1,Yes,40,1.314,58,Married,34.63,Router/MiFi,4G/5G Fixed Wireless,12-month,Bank Transfer,Yes,No,Not applicable
CUST-00079,23/03/2026,,31/03/2026,31/03/2026,0,No,8,0.263,36,Single,54.68,Smartphone,Fiber,Month-to-month,Card,No,No,Yes
CUST-00080,01/02/2026,,31/03/2026,31/03/2026,0,No,58,1.906,61,Married,56.1,Smartphone,4G/5G Fixed Wireless,24-month,Cash/Agent,Yes,No,Yes
CUST-00081,11/06/2025,21/10/2025,31/03/2026,21/10/2025,1,Yes,132,4.337,74,Married,46.43,Smartphone,Mobile Data,Month-to-month,Bank Transfer,No,Yes,Not applicable
CUST-00082,10/03/2026,,31/03/2026,31/03/2026,0,No,21,0.69,70,Single,35.17,Router/MiFi,Mobile Data,Month-to-month,Card,No,No,Not applicable
CUST-00083,21/05/2025,26/12/2025,31/03/2026,26/12/2025,1,Yes,219,7.195,33,Single,90.36,Router/MiFi,Fiber,Month-to-month,Bank Transfer,No,No,No
CUST-00084,21/09/2025,10/03/2026,31/03/2026,10/03/2026,1,Yes,170,5.585,59,Divorced/Widowed,77.96,Smartphone,Fiber,12-month,Card,Yes,Yes,No
CUST-00085,19/02/2025,,31/03/2026,31/03/2026,0,No,405,13.306,51,Single,47.69,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Mobile Money,No,Not applicable,Yes
CUST-00086,09/02/2026,,31/03/2026,31/03/2026,0,No,50,1.643,23,Single,66.01,Smartphone,Fiber,24-month,Mobile Money,Yes,Yes,No
CUST-00087,03/01/2026,,31/03/2026,31/03/2026,0,No,87,2.858,31,Married,38.84,Smartphone,Mobile Data,12-month,Card,Yes,Not applicable,Yes
CUST-00088,22/10/2025,,31/03/2026,31/03/2026,0,No,160,5.257,73,Single,66.63,Feature Phone,Fiber,Month-to-month,Cash/Agent,Yes,Not applicable,No
CUST-00089,02/08/2025,,31/03/2026,31/03/2026,0,No,241,7.918,27,Married,54.51,Smartphone,Mobile Data,24-month,Bank Transfer,No,No,Yes
CUST-00090,08/07/2025,07/12/2025,31/03/2026,07/12/2025,1,Yes,152,4.994,67,Married,80.01,Router/MiFi,Fiber,Month-to-month,Mobile Money,No,No,Yes
CUST-00091,08/01/2026,17/02/2026,31/03/2026,17/02/2026,1,Yes,40,1.314,52,Single,47.8,Smartphone,4G/5G Fixed Wireless,12-month,Bank Transfer,Yes,Not applicable,No
CUST-00092,30/05/2025,,31/03/2026,31/03/2026,0,No,305,10.021,68,Single,94.98,Router/MiFi,Fiber,Month-to-month,Bank Transfer,No,Yes,Not applicable
CUST-00093,09/10/2025,,31/03/2026,31/03/2026,0,No,173,5.684,34,Married,63.26,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Card,No,Yes,Not applicable
CUST-00094,27/01/2026,,31/03/2026,31/03/2026,0,No,63,2.07,66,Married,33.83,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Card,Yes,Yes,Yes
CUST-00095,26/11/2025,,31/03/2026,31/03/2026,0,No,125,4.107,39,Single,14.85,Feature Phone,None,Month-to-month,Cash/Agent,No,Not applicable,Yes
CUST-00096,11/02/2025,26/06/2025,31/03/2026,26/06/2025,1,Yes,135,4.435,18,Divorced/Widowed,50.86,Smartphone,Fiber,Month-to-month,Cash/Agent,No,Not applicable,No
CUST-00097,19/02/2025,,31/03/2026,31/03/2026,0,No,405,13.306,60,Married,30.41,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,No,Yes,Yes
CUST-00098,05/05/2025,,31/03/2026,31/03/2026,0,No,330,10.842,28,Single,64.42,Smartphone,4G/5G Fixed Wireless,Month-to-month,Mobile Money,Yes,Not applicable,Yes
CUST-00099,29/01/2025,,31/03/2026,31/03/2026,0,No,426,13.996,60,Single,44.44,Smartphone,Mobile Data,Month-to-month,Card,No,Yes,Not applicable
CUST-00100,01/02/2025,21/05/2025,31/03/2026,21/05/2025,1,Yes,109,3.581,34,Married,30.95,Router/MiFi,Mobile Data,Month-to-month,Mobile Money,No,Not applicable,Yes
CUST-00101,03/04/2025,,31/03/2026,31/03/2026,0,No,362,11.893,64,Single,53.53,Smartphone,4G/5G Fixed Wireless,Month-to-month,Mobile Money,Yes,Not applicable,Not applicable
CUST-00102,03/04/2025,,31/03/2026,31/03/2026,0,No,362,11.893,60,Divorced/Widowed,35.33,Smartphone,Mobile Data,Month-to-month,Card,Yes,No,Not applicable
CUST-00103,15/05/2025,27/05/2025,31/03/2026,27/05/2025,1,Yes,12,0.394,77,Single,24.24,Smartphone,None,Month-to-month,Bank Transfer,Yes,Not applicable,No
CUST-00104,27/01/2025,,31/03/2026,31/03/2026,0,No,428,14.062,64,Married,38.27,Smartphone,None,12-month,Mobile Money,No,Not applicable,Not applicable
CUST-00105,07/02/2026,,31/03/2026,31/03/2026,0,No,52,1.708,67,Married,55.11,Smartphone,Fiber,24-month,Cash/Agent,No,No,Yes
CUST-00106,01/05/2025,11/12/2025,31/03/2026,11/12/2025,1,Yes,224,7.359,27,Single,39.65,Feature Phone,Mobile Data,Month-to-month,Cash/Agent,Yes,Not applicable,No
CUST-00107,23/11/2025,,31/03/2026,31/03/2026,0,No,128,4.205,74,Single,54.37,Smartphone,4G/5G Fixed Wireless,12-month,Bank Transfer,Yes,No,No
CUST-00108,05/04/2025,,31/03/2026,31/03/2026,0,No,360,11.828,28,Single,23.98,Smartphone,Mobile Data,12-month,Bank Transfer,No,No,No
CUST-00109,31/12/2025,,31/03/2026,31/03/2026,0,No,90,2.957,28,Single,24.38,Smartphone,Mobile Data,Month-to-month,Card,Yes,Yes,Not applicable
CUST-00110,22/12/2025,11/01/2026,31/03/2026,11/01/2026,1,Yes,20,0.657,41,Single,20.69,Tablet,Mobile Data,Month-to-month,Bank Transfer,No,No,Not applicable
CUST-00111,09/12/2025,,31/03/2026,31/03/2026,0,No,112,3.68,51,Married,62.22,Router/MiFi,Fiber,Month-to-month,Bank Transfer,No,No,No
CUST-00112,18/03/2026,31/03/2026,31/03/2026,31/03/2026,1,Yes,13,0.427,20,Single,16.82,Smartphone,None,Month-to-month,Mobile Money,No,No,Yes
CUST-00113,26/03/2025,,31/03/2026,31/03/2026,0,No,370,12.156,67,Married,36.04,Smartphone,Mobile Data,Month-to-month,Cash/Agent,No,Not applicable,Not applicable
CUST-00114,22/05/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,313,10.283,55,Single,56.73,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,No,No,No
CUST-00115,28/11/2025,,31/03/2026,31/03/2026,0,No,123,4.041,38,Married,72.21,Tablet,Fiber,Month-to-month,Cash/Agent,Yes,No,No
CUST-00116,24/01/2026,,31/03/2026,31/03/2026,0,No,66,2.168,54,Single,79.82,Smartphone,4G/5G Fixed Wireless,24-month,Card,No,Not applicable,Yes
CUST-00117,31/10/2025,,31/03/2026,31/03/2026,0,No,151,4.961,62,Single,41.65,Smartphone,Mobile Data,Month-to-month,Mobile Money,Yes,Not applicable,Yes
CUST-00118,19/11/2025,24/12/2025,31/03/2026,24/12/2025,1,Yes,35,1.15,35,Single,82.74,Smartphone,Fiber,Month-to-month,Mobile Money,Yes,Yes,Not applicable
CUST-00119,29/01/2026,,31/03/2026,31/03/2026,0,No,61,2.004,68,Married,60.47,Tablet,4G/5G Fixed Wireless,Month-to-month,Mobile Money,Yes,Not applicable,Not applicable
CUST-00120,06/06/2025,,31/03/2026,31/03/2026,0,No,298,9.791,65,Married,49.22,Feature Phone,4G/5G Fixed Wireless,Month-to-month,Card,Yes,Not applicable,Not applicable
CUST-00121,29/06/2025,15/07/2025,31/03/2026,15/07/2025,1,Yes,16,0.526,63,Single,68.09,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Bank Transfer,No,Yes,Yes
CUST-00122,10/07/2025,,31/03/2026,31/03/2026,0,No,264,8.674,61,Married,61.41,Feature Phone,Fiber,12-month,Mobile Money,No,No,No
CUST-00123,09/11/2025,,31/03/2026,31/03/2026,0,No,142,4.665,33,Married,30.28,Router/MiFi,Mobile Data,12-month,Cash/Agent,No,Yes,Yes
CUST-00124,25/01/2025,08/02/2025,31/03/2026,08/02/2025,1,Yes,14,0.46,71,Married,58.63,Smartphone,Fiber,12-month,Mobile Money,Yes,Not applicable,Yes
CUST-00125,12/07/2025,,31/03/2026,31/03/2026,0,No,262,8.608,65,Married,43.71,Router/MiFi,4G/5G Fixed Wireless,12-month,Mobile Money,No,Not applicable,Yes
CUST-00126,14/05/2025,,31/03/2026,31/03/2026,0,No,321,10.546,39,Divorced/Widowed,13.53,Smartphone,Mobile Data,12-month,Card,No,Yes,Not applicable
CUST-00127,25/01/2025,,31/03/2026,31/03/2026,0,No,430,14.127,23,Single,58.56,Router/MiFi,Fiber,Month-to-month,Card,No,Yes,Not applicable
CUST-00128,10/01/2026,28/01/2026,31/03/2026,28/01/2026,1,Yes,18,0.591,56,Divorced/Widowed,66.11,Smartphone,Fiber,24-month,Mobile Money,No,No,Yes
CUST-00129,13/05/2025,,31/03/2026,31/03/2026,0,No,322,10.579,33,Married,13.12,Router/MiFi,None,Month-to-month,Cash/Agent,No,Yes,Not applicable
CUST-00130,16/01/2025,,31/03/2026,31/03/2026,0,No,439,14.423,48,Single,62.91,Feature Phone,4G/5G Fixed Wireless,Month-to-month,Bank Transfer,Yes,Not applicable,Yes
CUST-00131,07/09/2025,,31/03/2026,31/03/2026,0,No,205,6.735,45,Single,36.31,Smartphone,Mobile Data,12-month,Cash/Agent,Yes,Not applicable,Yes
CUST-00132,21/09/2025,,31/03/2026,31/03/2026,0,No,191,6.275,53,Divorced/Widowed,62.81,Smartphone,Fiber,Month-to-month,Cash/Agent,No,No,No
CUST-00133,14/04/2025,21/08/2025,31/03/2026,21/08/2025,1,Yes,129,4.238,42,Single,36.64,Smartphone,4G/5G Fixed Wireless,Month-to-month,Bank Transfer,Yes,Not applicable,No
CUST-00134,27/06/2025,,31/03/2026,31/03/2026,0,No,277,9.101,74,Married,61.82,Router/MiFi,4G/5G Fixed Wireless,12-month,Bank Transfer,No,No,Yes
CUST-00135,21/06/2025,,31/03/2026,31/03/2026,0,No,283,9.298,34,Single,48.37,Feature Phone,Mobile Data,Month-to-month,Card,Yes,Yes,Yes
CUST-00136,14/07/2025,,31/03/2026,31/03/2026,0,No,260,8.542,50,Single,48.55,Smartphone,4G/5G Fixed Wireless,12-month,Mobile Money,Yes,Yes,Yes
CUST-00137,05/11/2025,,31/03/2026,31/03/2026,0,No,146,4.797,22,Married,12.51,Router/MiFi,None,12-month,Card,No,Yes,Yes
CUST-00138,02/05/2025,,31/03/2026,31/03/2026,0,No,333,10.94,74,Married,35.09,Router/MiFi,DSL,Month-to-month,Cash/Agent,Yes,Not applicable,No
CUST-00139,04/02/2026,,31/03/2026,31/03/2026,0,No,55,1.807,40,Married,56.43,Router/MiFi,Fiber,Month-to-month,Cash/Agent,No,No,No
CUST-00140,01/08/2025,,31/03/2026,31/03/2026,0,No,242,7.951,65,Single,41.63,Feature Phone,Fiber,Month-to-month,Bank Transfer,No,Not applicable,Yes
CUST-00141,23/08/2025,,31/03/2026,31/03/2026,0,No,220,7.228,49,Married,51.02,Smartphone,Mobile Data,12-month,Cash/Agent,Yes,Not applicable,Yes
CUST-00142,02/01/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,453,14.883,64,Married,67.87,Smartphone,Fiber,Month-to-month,Cash/Agent,No,Not applicable,No
CUST-00143,05/05/2025,15/10/2025,31/03/2026,15/10/2025,1,Yes,163,5.355,42,Single,31.46,Smartphone,DSL,Month-to-month,Card,Yes,Not applicable,Yes
CUST-00144,03/12/2025,04/12/2025,31/03/2026,04/12/2025,1,Yes,1,0.033,26,Married,39.16,Feature Phone,Mobile Data,Month-to-month,Cash/Agent,No,Not applicable,Yes
CUST-00145,05/01/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,450,14.784,78,Married,50.86,Smartphone,4G/5G Fixed Wireless,Month-to-month,Card,No,Yes,Yes
CUST-00146,16/08/2025,,31/03/2026,31/03/2026,0,No,227,7.458,69,Married,22.6,Smartphone,Mobile Data,12-month,Cash/Agent,No,Not applicable,No
CUST-00147,17/09/2025,,31/03/2026,31/03/2026,0,No,195,6.407,34,Single,40.01,Smartphone,None,12-month,Cash/Agent,Yes,Yes,No
CUST-00148,12/02/2025,,31/03/2026,31/03/2026,0,No,412,13.536,75,Married,11.28,Smartphone,None,12-month,Cash/Agent,Yes,Yes,No
CUST-00149,23/01/2026,,31/03/2026,31/03/2026,0,No,67,2.201,50,Divorced/Widowed,55.16,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,No,Yes,Not applicable
CUST-00150,18/06/2025,,31/03/2026,31/03/2026,0,No,286,9.396,71,Single,22.21,Smartphone,Mobile Data,Month-to-month,Mobile Money,Yes,Not applicable,No
CUST-00151,27/02/2025,,31/03/2026,31/03/2026,0,No,397,13.043,47,Single,78.05,Feature Phone,Fiber,Month-to-month,Bank Transfer,Yes,Not applicable,No
CUST-00152,26/10/2025,,31/03/2026,31/03/2026,0,No,156,5.125,36,Married,35.73,Feature Phone,Mobile Data,24-month,Mobile Money,No,No,Yes
CUST-00153,04/02/2026,,31/03/2026,31/03/2026,0,No,55,1.807,18,Single,31.94,Feature Phone,Mobile Data,Month-to-month,Mobile Money,Yes,No,Yes
CUST-00154,14/02/2025,,31/03/2026,31/03/2026,0,No,410,13.47,67,Single,29.96,Router/MiFi,DSL,24-month,Bank Transfer,Yes,Not applicable,No
CUST-00155,01/05/2025,,31/03/2026,31/03/2026,0,No,334,10.973,45,Divorced/Widowed,25.16,Smartphone,Mobile Data,24-month,Cash/Agent,Yes,Yes,Not applicable
